publication_version_id,publication_id,doi,title,abstract,Tags,Authors,,
111,1107,10.4231/D3DR2P83H,Statistical Potential based Amino Acid Similarity Matrices for Aligning Distantly Related Protein Sequences,"Supplementary materials for the paper: Statistical Potential based Amino Acid Similarity Matrices for Aligning Distantly Related Protein Sequences. Proteins: Structure, Function and Bioinformatics 64: 587-600. (2006)","amino acids/chemistry, biochemistry, bioinformatics, molecular biosciences, protein folding","H. Huang, Daisuke Kihara, Y.H. Tan",,
513,1111,10.4231/D39K45S8J,Linking Pressure and Saturation through Interfacial Areas in Porous Media,"Supplementary materials for the paper:  Cheng, J.-T., L. J. Pyrak-Nolte, D. D. Nolte, and N. J. Giordano (2004), Linking pressure and saturation through interfacial areas in porous media, Geophys. Res. Lett., 31, L08502, doi:10.1029/2003GL019282.","drainage, physics","V. Niasar, S. Hassanizadeh, Laura J. Pyrak-Nolte, C. Berentsen",,
119,1114,10.4231/D3ZC7RT9G,Measurement of Interfacial Area per Volume for Drainage and Imbibition - S6dc,"Supplementary materials for the paper: Measurement of interfacial area per volume for drainage and imbibition, Water Resour. Res., 43, W12504, 2007, doi:10.1029/2007WR006021.","drainage, physics","Daiquan Chen, Laura J. Pyrak-Nolte, Jessica Griffin, Nicholas Giordano",,
121,1116,10.4231/D3PV6B70H,Relating Capillary Pressure to Interfacial Areas - S70,"Supplementary materials for the paper: Relating capillary pressure to interfacial areas, Water Resour. Res., 44, W06408, 2008, doi:10.1029/2007WR006434.","drainage, physics","Laura J. Pyrak-Nolte, David Nolte, Daiquan Chen, Nicholas Giordano",,
123,1118,10.4231/D3P26Q35R,Critical Engineering Literacy Test (CELT),"The CELT download includes the blueprint for writing assessment items, and the content of the assessment itself. This version (4.1) includes 2 parts, one on an engineering topic, and one on a biology topic.","assessment, education, engineering education, environmental engineering","Michael Fosmire, Ruth Wertz, Senay Purzer",,
749,1118,10.4231/R7668B33,Critical Engineering Literacy Test (CELT),"The CELT download includes the blueprint for writing assessment items, and the content of the assessment itself. This version (4.1) includes 2 parts, one on an engineering topic, and one on a biology topic.","assessment, education, engineering education, environmental engineering","Michael Fosmire, Ruth Wertz, Senay Purzer, Amy S  Van Epps",,
422,1123,10.4231/D3F47GT6N,An Interview with Alina Marazzi: Supplementary Content to Reframing Italy: New Trends in Italian Women's Filmmaking,"This video interview with Alina Marazzi, a leading female Italian film director, accompanies the 2013 book Reframing Italy: New Trends in Italian Women's Filmmaking, by Bernardette Luciano and Susanna Scarparo.","classical studies, drama, film studies, global languages and literatures, italy, motion pictures, performing arts, reframing italy, women filmmakers, women's studies","Susanna Scarparo, Bernadette Luciano",,
134,1129,10.4231/D3X63B541,DAMAGED GIRDER - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges,Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Amit H. Varma, Young Moo Sohn",,
135,1130,10.4231/D3NS0KX8Z,FORCE SYSTEM 1 - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges,Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Young Moo Sohn, Amit H. Varma",,
136,1131,10.4231/D3J09W45G,FORCE SYSTEM 2 - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges,Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Young Moo Sohn, Amit H. Varma",,
137,1132,10.4231/D3SF2MC0W,ADJUSTING FORCE - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges,Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Amit H. Varma, Young Moo Sohn",,
138,1133,10.4231/D3D795B1Q,TEMPERATURE - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges,Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Amit H. Varma, Young Moo Sohn",,
139,1134,10.4231/D30Z70W9F,FORCE SYSTEM 3 - Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Beam Bridges,Supplementary Materials for the Report: Effects of Realistic Heat Straightening Repair on the Properties and Serviceability of Damaged Steel Bridges,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheating, overstraining, spr-3105","Amit H. Varma, Young Moo Sohn",,
405,1400,10.4231/D3H41JM64,An Interview with Antonietta De Lillo: Supplementary Content to Reframing Italy: New Trends in Italian Women's Filmmaking,"This video interview with Antonietta De Lillo, a leading female Italian film director, accompanies the 2013 book Reframing Italy: New Trends in Italian Women's Filmmaking, by Bernardette Luciano and Susanna Scarparo.","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies","Susanna Scarparo, Bernadette Luciano",,
406,1401,10.4231/D3MW28F0K,An Interview with Costanza Quatriglio: Supplementary Content to Reframing Italy: New Trends in Italian Women's Filmmaking,"This video interview with Costanza Quatriglio, a leading female Italian film director, accompanies the 2013 book Reframing Italy: New Trends in Italian Women's Filmmaking, by Bernardette Luciano and Susanna Scarparo.","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies","Susanna Scarparo, Bernadette Luciano",,
407,1402,10.4231/D3RN3074Q,An Interview with Francesca Pirani: Supplementary Content to Reframing Italy: New Trends in Italian Women's Filmmaking,"This video interview with Francesca Pirani, a leading female Italian film director, accompanies the 2013 book Reframing Italy: New Trends in Italian Women's Filmmaking, by Bernardette Luciano and Susanna Scarparo.","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies","Susanna Scarparo, Bernadette Luciano",,
408,1403,10.4231/D3154DP2K,An Interview with Marina Spada: Supplementary Content to Reframing Italy: New Trends in Italian Women's Filmmaking,"This video interview with Marina Spada, a leading female Italian film director, accompanies the 2013 book Reframing Italy: New Trends in Italian Women's Filmmaking, by Bernardette Luciano and Susanna Scarparo.","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies","Susanna Scarparo, Bernadette Luciano",,
409,1404,10.4231/D3WD3Q18G,An Interview with Paola Sangiovanni: Supplementary Content to Reframing Italy: New Trends in Italian Women's Filmmaking,"This video interview with Paola Sangiovanni, a leading female Italian film director, accompanies the 2013 book Reframing Italy: New Trends in Italian Women's Filmmaking, by Bernardette Luciano and Susanna Scarparo.","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, reframing italy, women filmmakers, women's studies","Susanna Scarparo, Bernadette Luciano",,
428,1418,10.4231/D3DZ03214,Predicted regulatory signals in the human HOXA locus: supplemental material for the report: Discovering sequences with potential regulatory characteristics,"Supplementary materials for the paper: Discovering sequences with potential regulatory characteristics. Bina M, Wyss P, Lazarus SA, Shah SR, Ren W, Szpankowski W, Crawford GE, Park SP, Song XC. Genomics. 2009 Apr;93(4):314-22","binding-site, biochemistry, bioinformatics, codes in human dna, dnase-i hypersensitive sites, gene regulation, genetic vocabulary, human genome, hypersensitive sites, molecular biosciences, promoter regions, regulatory signals, sequence context, transcription factor binding sites, transcription factors","Xiaohui C. Song, Sheryl A. Lazarus, Syed A. Shah, Wenhui Ren, Wojciech Szpankowski, Gregory E. Crawford, Sang P. Park, Phillip J. Wyss, Minou Bina",,
439,1429,10.4231/D31834278,Figure X: Insolubility of AarCH6-C357Y,Supplementary to Mullins E.A. and Kappock T.J. (2013) &quot;Functional analysis of the acetic acid resistance (aar) gene cluster in Acetobacter aceti strain 1023.&quot; Acetic Acid Bacteria 2: e3. (DOI: 10.4081/aab.2013.s1.e3).,"acidophile, biochemistry, chemistry, citric acid cycle, enzyme, molecular biosciences","Elwood A. Mullins, T. Joseph Kappock",,
440,1430,10.4231/D3WH2DF2W,Figures from Functional analysis of the acetic acid resistance (aar) gene cluster in Acetobacter aceti strain 1023,Supplementary to Mullins E.A. and Kappock T.J. (2013) &quot;Functional analysis of the acetic acid resistance (aar) gene cluster in Acetobacter aceti strain 1023.&quot; Acetic Acid Bacteria 2: e3. (DOI: 10.4081/aab.2013.s1.e3).,"acidophile, biochemistry, chemistry, citric acid cycle, enzyme, molecular biosciences","Elwood A. Mullins, T. Joseph Kappock",,
482,1472,10.4231/R71Z4290,"32-digit values of the first 100 recurrence coefficients relative to the Theodorus weight function w(x)=x^{1/2}/(e^x-1) on R_{+} computed  by the routine sr_theodorus(100,32)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the Theodorus weight function w(x)=x^{1/2}/(e^x-1) on R_{+} computed  by the routine sr_theodorus(100,32)","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, moment problem, numerical integrations, orthogonal polynomials, quadrature and cubature formulas, slowly convergent series, spiral of theodorus, summation of series, walter gautschi archives","Walter Guatschi, Walter Gautschi",,
1263,1472,10.4231/R7CZ354Q,32-digit values of the first 100 recurrence coefficients for the Theodorus weight function,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=x^(1/2)/(exp(x)-1) on [0,Inf]","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, moment problem, numerical integrations, orthogonal polynomials, quadrature and cubature formulas, slowly convergent series, spiral of theodorus, summation of series, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
484,1474,10.4231/R7QN64N5,"28-digit values of the recursion coefficients relative to the Airy weight function w(x)=  frac{2^{2/3}pi}{3^{5/6}Gamma(2/3)} *x^{-2/3}exp(-x)Ai((3x/2)^{2/3}) on [0,infty]","28-digit values of the recursion coefficients for orthogonal polynomials relative to the Airy weight function w(x)=  frac{2^{2/3}pi}{3^{5/6}Gamma(2/3)} *x^{-2/3}exp(-x)Ai((3x/2)^{2/3}) on [0,infty]","airy weight function, computer science, equation table, gaussian quadrature, mathematics, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives",Walter Gautschi,,
485,1475,10.4231/R7JW8BS2,"28-digit values of the recursion coefficients relative to the Bessel weight function w(x)=frac{sqrt{3}}{pi}K_{1/3}(x) on [0,infty]","28-digit values of the recursion coefficients for orthogonal polynomials relative to the Bessel weight function w(x)=frac{sqrt{3}}{pi}K_{1/3}(x) on [0,infty]","computer science, equation table, gaussian quadrature, k-bessel weight function, mathematics, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives","Walter Guatschi, Walter Gautschi",,
1273,1475,10.4231/R73F4MKN,32-digit values of the first 100 recurrence coefficients for a modified Bessel weight function,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=c*K_nu(x) on [0,Inf], c=2cos(nu*pi/2)/pi, nu=1/3","computer science, equation table, gaussian quadrature, k-bessel weight function, mathematics, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
486,1476,10.4231/R7H12ZX3,"32-digit values of the first 100 recurrence coefficients relative to the Bose-Einstein weight function w(x)=x/(e^x-1) computed by the SOPQ routine sr_boseeinstein(100,1,32)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the Bose-Einstein weight function w(x)=x/(e^x-1) computed by the SOPQ routine sr_boseeinstein(100,1,32)","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives","Walter Guatschi, Walter Gautschi",,
1269,1476,10.4231/R7MG7MGF,32-digit values of the first 100 recurrence coefficients for the Bose-Einstein weight function,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=[x/(exp(x)-1)]^r on [0,Inf], r=1","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
488,1478,10.4231/R77H1GGF,"32-digit values of the first 100 recurrence coefficients relative to the Bose-Einstein weight function w(x)=[x/(e^x-1)]^2 computed by the SOPQ routine sr_boseeinstein(100,2,32)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the Bose-Einstein weight function w(x)=[x/(e^x-1)]^2 computed by the SOPQ routine sr_boseeinstein(100,2,32)","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Guatschi, Walter Gautschi",,
1270,1478,10.4231/R7GQ6VQ8,32-digit values of the first 100 recurrence coefficients for the Bose-Einstein-type weight function with exponent 2,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=[x/(exp(x)-1)]^r on [0,Inf], r=2","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
489,1479,10.4231/R73R0QRQ,"32-digit values of the first 100 recurrence coefficients relative to the Bose-Einstein weight function w(x)=[x/(e^x-1)]^3 computed by the SOPQ routine sr_boseeinstein(100,3,32)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the Bose-Einstein  weight function w(x)=[x/(e^x-1)]^3 computed by the  routine sr_boseeinstein(100,3,32)","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Guatschi, Walter Gautschi",,
1271,1479,10.4231/R7BZ640B,32-digit values of the first 100 recurrence coefficients for the Bose-Einstein-type weight function with exponent 3,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=[x/(exp(x)-1)]^r on [0,Inf], r=3","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
490,1480,10.4231/R7000013,"32-digit values of the first 100 recurrence coefficients using the Bose-Einstein  weight function: w(x)=[x/(e^x-1)]^4 computed by the SOPQ routine sr_boseeinstein(100,4,32)","32-digit values of the first 100 recurrence  coefficients for orthogonal polynomials using the Bose-Einstein weight function: 
w(x)=[x/(e^x-1)]^4 computed by the SOPQ routine sr_boseeinstein(100,4,32)","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1272,1480,10.4231/R7765C8X,32-digit values of the first 100 recurrence coefficients for the Bose-Einstein-type weight function with exponent 4,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=[x/(exp(x)-1)]^r on [0,Inf], r=4","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
491,1481,10.4231/R7C82765,"32-digit values of the first 100 recurrence coefficients relative to the Fermi-Dirac weight function w(x)=1/(e^x+1) computed by the SOPQ routine sr_fermidirac(100,1,32)","32-digit values of the first 100 recurrence coefficients relative to the Fermi-Dirac weight function w(x)=1/(e^x+1) computed by the SOPQ routine sr_fermidirac(100,1,32)","computer science, equation table, fermi dirac weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1262,1481,10.4231/R7HQ3WW3,32-digit values of the first 100 recurrence coefficients for the Fermi-Dirac weight function,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=[1/(exp(x)+1)]^r on [0,Inf], r=1","computer science, equation table, fermi dirac weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
496,1486,10.4231/R7F769GC,"32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^{10}) computed on R by the SOPQ routine sr_freud(100,0,10,32)","32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^{10}) computed on R by the SOPQ routine sr_freud(100,0,10,32)","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1265,1486,10.4231/R74F1NPK,32-digit values of the first 100 recurrence coefficients for the Freud weight function with exponent 10,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=x^mu*exp(-x^nu) on [-Inf,Inf], mu=0, nu=10","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
497,1487,10.4231/R7PN93HS,"32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^4) computed on R by the SOPQ routine sr_freud(100,0,4,32)","32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^4) computed on R by the SOPQ routine sr_freud(100,0,4,32)","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1267,1487,10.4231/R7VX0DHD,32-digit values of the first 100 recurrence coefficients for the Freud weight function with exponent 4,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=x^mu*exp(-x^nu) on [-Inf,Inf], mu=0, nu=4","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
498,1488,10.4231/R7Z60KZ0,"32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^6) computed on R by the SOPQ routine sr_freud(100,0,6,32)","32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^6) computed on R by the SOPQ routine sr_freud(100,0,6,32)","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematical concepts, mathematics, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1266,1488,10.4231/R70P0X0Q,32-digit values of the first 100 recurrence coefficients for the Freud weight function with exponent 6,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=x^mu*exp(-x^nu) on [-Inf,Inf], mu=0, nu=6","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematical concepts, mathematics, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
499,1489,10.4231/R7TD9V74,"32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^8) computed on R by the SOPQ routine  sr_freud(100,0,8,32)","32-digit values of the first 100 beta coefficients relative to the Freud weight function w(x)=exp(-x^8) computed on R by the SOPQ routine sr_freud(100,0,8,32)","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1268,1489,10.4231/R7R78C5Q,32-digit values of the first 100 recurrence coefficients for the Freud weight function with exponent 8,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=x^mu*exp(-x^nu) on [-Inf,Inf], mu=0, nu=8","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
500,1490,10.4231/R7X63JTM,"32-digit values of the first 100 recurrence coefficients relative to the half-range Hermite weight function w(x)=exp(-x^2) on R_{+} computed  by the SOPQ routine sr_halfrangehermite(100,32)","32-digit values of the first 100 recurrence coefficients relative to the half-range Hermite weight function w(x)=exp(-x^2) on R_{+} computed  by the SOPQ routine sr_halfrangehermite(100,32)","computational methods, computer science, equation table, gaussian quadrature, hermite weight function, hilbert transforms, integral transforms, mathematics, matlab, numerical integrations, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1274,1490,10.4231/R7ZP443R,32-digit values of the first 100 recurrence coefficients for the half-range generalized Hermite weight function with exponent 0,"32-digit values of the first 100 recurrence coefficients for the weight function w(x)=x^(2*mu)*exp(-x^2) on [0,Inf], mu=0","computational methods, computer science, equation table, gaussian quadrature, hermite weight function, hilbert transforms, integral transforms, mathematics, matlab, numerical integrations, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
501,1491,10.4231/R70Z715M,"32-digit values of the first 100 recurrence coefficients relative to the weight function w(x)=x^{-1/2}(1-x)^{-1/2}log(1/x) on (0,1) computed  by the SOPQ routine sr_jacobilog1(100,-1/2,-1/2,32)","32-digit values of the first 100 recurrence coefficients relative to the weight function w(x)=x^{-1/2}(1-x)^{-1/2}log(1/x) on (0,1) computed  by the SOPQ routine sr_jacobilog1(100,-1/2,-1/2,32)","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
504,1494,10.4231/R79G5JRN,"32-digit values of the first 100 recurrence coefficients relative to the weight function w(x)=x^{-1/2}(1-x)^{1/2}log(1/x) on (0,1) computed by the SOPQ routine sr_jacobilog1(100,-1/2,1/2,32)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the weight function w(x)=x^{-1/2}(1-x)^{1/2}log(1/x) on (0,1) computed by the SOPQ routine sr_jacobilog1(100,-1/2,1/2,32)","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
1264,1494,10.4231/R7862DD9,"32-digit values of the first 100 recurrence coefficients for an algebraically/logarithmically singular weight function on (0,1)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the weight function w(x)=(1-x)^{-1/2}x^{1/2}log(1/x) on (0,1)","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives","Walter Gautschi, Stanislav Pejša",,
508,1498,10.4231/R7SF2T39,"32-digit values of the first 100 recurrence coefficients relative to the weight function w(x)=x^{1/2}(1-x)^{-1/2}log(1/x) on (0,1) computed by the SOPQ routine sr_jacobilog1(100,1/2,-1/2,32)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the weight function w(x)=x^{1/2}(1-x)^{-1/2}log(1/x) on (0,1) computed by the SOPQ routine sr_jacobilog1(100,1/2,-1/2,32)","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
510,1500,10.4231/R74Q7RWJ,"32-digit values of the first 100 recurrence coefficients relative to the weight function w(x)=x^{1/2}(1-x)^{1/2}log(1/x) on (0,1) computed by the SOPQ routine sr_jacobilog1(100,1/2,1/2,32)","32-digit values of the first 100 recurrence coefficients for orthogonal polynomials relative to the weight function w(x)=x^{1/2}(1-x)^{1/2}log(1/x) on (0,1) computed by the SOPQ routine sr_jacobilog1(100,1/2,1/2,32)","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives",Walter Gautschi,,
